Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-66.67%	0.10	02/04/2016	18:10:32	0.10	0	31,779	03/23/2016	n.a.
5,800.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	194	05/20/2015	n.a.
5,600.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	902	06/22/2015	n.a.
5,400.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	994	07/29/2015	n.a.
5,200.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	1,756	07/29/2015	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	7,096	12/10/2015	n.a.
4,900.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	4,212	01/28/2016	n.a.
4,800.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	3,627	11/27/2015	n.a.
4,700.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	2,716	12/10/2015	n.a.
4,600.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	2,568	12/15/2015	n.a.
4,550.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	2,092	12/15/2015	n.a.
4,500.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/04/2016	18:10:32	0.10	0	13,978	01/28/2016	n.a.
4,450.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/25/2016	18:39:42	0.10	0	595	12/16/2015	n.a.
4,400.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/25/2016	18:39:42	0.10	0	6,834	01/19/2016	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/11/2016	18:07:24	0.10	0	2,012	01/15/2016	n.a.
4,300.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/11/2016	18:07:24	0.10	0	15,476	01/14/2016	n.a.
4,250.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/17/2016	18:59:53	0.10	0	4,638	01/18/2016	n.a.
4,200.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	02/17/2016	18:59:53	0.10	0	17,251	01/27/2016	n.a.
4,150.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	+0.00%	0.10	03/01/2016	15:48:23	0.10	30	14,339	03/02/2016	n.a.
4,100.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	03/02/2016	19:05:07	0.10	0	27,971	02/29/2016	n.a.
4,050.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	03/02/2016	19:05:07	0.10	0	1,923	02/19/2016	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	+100.00%	0.20	03/21/2016	12:27:28	0.10	100	134,343	03/22/2016	n.a.
3,950.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/22/2016	18:46:45	0.10	0	5,723	02/19/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	0.10	0	0.30	0	+200.00%	0.30	03/23/2016	16:20:16	0.10	1,000	18,967	03/24/2016	n.a.
3,850.00	0	n.a.	n.a.	n.a.	0.10	0	0.30	0	-50.00%	0.20	03/14/2016	18:17:13	0.20	0	14,106	03/04/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	0.10	0	0.40	0	+100.00%	0.40	03/24/2016	12:22:19	0.20	1	99,359	03/23/2016	n.a.
3,750.00	0	n.a.	n.a.	n.a.	n.a.	0	0.40	0	+50.00%	0.30	03/23/2016	17:58:20	0.30	0	67,230	03/15/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	0.30	0	0.50	0	+0.00%	0.40	03/24/2016	10:19:56	0.30	80	76,450	03/24/2016	n.a.
3,675.00	0	n.a.	n.a.	n.a.	0.10	0	0.50	0	+0.00%	0.40	03/24/2016	17:27:29	0.40	122	2,022	03/23/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	0.40	0	0.60	0	+0.00%	0.50	03/24/2016	16:01:56	0.50	1,317	31,129	03/24/2016	n.a.
3,625.00	0	n.a.	n.a.	n.a.	0.30	0	0.70	0	-16.67%	0.50	03/24/2016	18:12:55	0.50	500	2,993	03/23/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	0.40	0	0.80	0	-14.29%	0.60	03/24/2016	18:12:55	0.60	491	220,367	03/24/2016	n.a.
3,575.00	0	n.a.	n.a.	n.a.	0.60	0	0.90	0	+0.00%	0.80	03/24/2016	17:21:22	0.80	362	1,214	03/22/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	0.70	0	1.10	0	-10.00%	0.90	03/24/2016	18:12:55	0.90	0	42,220	03/23/2016	n.a.
3,525.00	0	n.a.	n.a.	n.a.	0.90	0	1.30	0	-15.38%	1.10	03/24/2016	18:12:55	1.10	0	14,717	03/15/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	1.10	0	1.70	0	-12.50%	1.40	03/24/2016	18:12:55	1.40	5	151,686	03/22/2016	n.a.
3,475.00	0	n.a.	n.a.	n.a.	1.40	0	2.00	0	-19.05%	1.70	03/24/2016	18:12:55	1.70	0	7,766	03/21/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	1.80	0	2.50	0	-19.23%	2.10	03/24/2016	18:12:55	2.10	1	42,867	03/18/2016	n.a.
3,425.00	0	n.a.	n.a.	n.a.	2.40	0	3.10	0	-20.59%	2.70	03/24/2016	18:12:55	2.70	0	3,807	03/21/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	3.10	0	3.90	0	-24.44%	3.40	03/24/2016	18:12:55	3.40	10	191,784	03/24/2016	n.a.
3,375.00	0	n.a.	n.a.	n.a.	4.10	0	4.90	0	-24.14%	4.40	03/24/2016	18:12:55	4.40	0	5,413	03/23/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	5.30	0	6.10	0	-25.33%	5.60	03/24/2016	18:12:55	5.60	1,724	36,978	03/24/2016	n.a.
3,325.00	0	n.a.	n.a.	n.a.	6.80	0	7.70	0	-25.77%	7.20	03/24/2016	18:12:55	7.20	344	4,855	03/21/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	8.70	0	9.30	0	-25.20%	9.20	03/24/2016	18:12:55	9.20	2,323	181,847	03/24/2016	n.a.
3,275.00	0	n.a.	n.a.	n.a.	11.10	0	12.10	0	-24.52%	11.70	03/24/2016	18:12:55	11.70	100	22,244	03/18/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	14.10	0	15.00	0	-24.74%	14.60	03/24/2016	18:12:55	14.60	25	103,771	03/24/2016	n.a.
3,225.00	0	n.a.	n.a.	n.a.	17.60	0	18.60	0	-23.85%	18.20	03/24/2016	18:12:55	18.20	308	19,133	03/24/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	21.60	0	22.90	0	-23.55%	22.40	03/24/2016	18:12:55	22.40	3,722	249,825	03/24/2016	n.a.
3,175.00	0	n.a.	n.a.	n.a.	26.30	0	27.90	0	-23.03%	27.40	03/24/2016	18:12:55	27.40	544	21,710	03/24/2016	n.a.
