Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
11,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	+0.00%	0.10	12/18/2013	18:56:00	0.10	0	1,000	12/20/2013	n.a.
10,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	01/13/2016	09:46:46	0.10	1	122	11/10/2014	n.a.
8,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	12/01/2015	18:17:31	0.10	0	735	12/01/2015	n.a.
7,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	-50.00%	0.10	12/03/2015	18:32:44	0.10	0	500	07/05/2012	n.a.
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/17/2016	18:56:12	0.10	0	19,097	03/21/2016	n.a.
5,800.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/17/2016	18:56:12	0.10	0	523	04/02/2015	n.a.
5,600.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/17/2016	18:56:12	0.10	0	1,404	01/20/2016	n.a.
5,400.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/17/2016	18:56:12	0.10	0	4,888	01/07/2016	n.a.
5,200.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/21/2016	18:32:36	0.10	0	3,368	01/08/2016	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.30	0	-50.00%	0.10	03/23/2016	17:58:20	0.10	0	15,112	03/11/2016	n.a.
4,900.00	0	n.a.	n.a.	n.a.	0.10	0	0.40	0	-33.33%	0.20	03/21/2016	18:32:36	0.20	0	2,259	03/11/2016	n.a.
4,800.00	0	n.a.	n.a.	n.a.	0.10	0	0.50	0	+0.00%	0.20	03/22/2016	09:29:11	0.20	5	2,304	03/23/2016	n.a.
4,700.00	0	n.a.	n.a.	n.a.	0.20	0	0.50	0	-33.33%	0.20	03/22/2016	18:46:45	0.20	0	6,939	03/17/2016	n.a.
4,600.00	0	n.a.	n.a.	n.a.	0.10	0	0.60	0	-25.00%	0.30	03/21/2016	18:32:36	0.30	25	6,520	03/17/2016	n.a.
4,550.00	0	n.a.	n.a.	n.a.	n.a.	0	0.70	0	-25.00%	0.30	03/22/2016	18:46:45	0.30	0	736	03/16/2016	n.a.
4,500.00	0	n.a.	n.a.	n.a.	0.10	0	0.70	0	-20.00%	0.40	03/21/2016	18:32:36	0.40	0	14,089	03/16/2016	n.a.
4,450.00	0	n.a.	n.a.	n.a.	n.a.	0	0.80	0	-20.00%	0.40	03/24/2016	18:12:55	0.40	0	711	03/24/2016	n.a.
4,400.00	0	n.a.	n.a.	n.a.	0.10	0	0.80	0	-16.67%	0.50	03/24/2016	18:12:55	0.50	39	14,107	03/24/2016	n.a.
