Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
11,000.00	0	n.a.	n.a.	n.a.	0.40	0	n.a.	0	-66.67%	0.10	03/21/2016	18:32:36	0.10	0	1,000	12/12/2013	n.a.
10,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-66.67%	0.10	03/22/2016	18:46:45	0.10	0	151	12/19/2013	n.a.
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+42.86%	1.00	03/23/2016	17:58:20	1.00	0	2,065	07/11/2014	n.a.
5,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+7.69%	1.40	03/24/2016	18:12:55	1.40	0	7	10/31/2013	n.a.
5,600.00	0	n.a.	n.a.	n.a.	n.a.	0	5.90	0	+5.56%	1.90	03/24/2016	18:12:55	1.90	0	15	04/01/2014	n.a.
5,400.00	0	n.a.	n.a.	n.a.	n.a.	0	6.70	0	+3.85%	2.70	03/24/2016	18:12:55	2.70	0	17	11/12/2014	n.a.
5,200.00	0	n.a.	n.a.	n.a.	n.a.	0	8.90	0	+18.18%	3.90	03/23/2016	17:58:20	3.90	0	15	07/04/2013	n.a.
5,000.00	0	n.a.	n.a.	n.a.	1.60	0	9.80	0	+16.00%	5.80	03/23/2016	17:58:20	5.80	0	1,108	09/25/2015	n.a.
4,800.00	0	n.a.	n.a.	n.a.	4.40	0	12.50	0	-1.14%	8.70	03/24/2016	18:12:55	8.70	0	3,500	11/30/2015	n.a.
4,500.00	0	n.a.	n.a.	n.a.	11.40	0	20.50	0	-3.03%	16.00	03/24/2016	18:12:55	16.00	0	13,440	01/14/2016	n.a.
4,400.00	0	n.a.	n.a.	n.a.	14.90	0	24.00	0	-3.43%	19.70	03/24/2016	18:12:55	19.70	0	10,100	01/13/2016	n.a.
4,300.00	0	n.a.	n.a.	n.a.	18.20	0	10,028.30	0	-4.74%	24.10	03/24/2016	18:12:55	24.10	0	1,035	12/18/2015	n.a.
4,200.00	0	n.a.	n.a.	n.a.	23.40	0	10,033.60	0	-4.81%	29.70	03/24/2016	18:12:55	29.70	0	29,687	03/21/2016	n.a.
4,100.00	0	n.a.	n.a.	n.a.	29.90	0	10,040.10	0	-5.47%	36.30	03/24/2016	18:12:55	36.30	0	3,565	02/17/2016	n.a.
4,000.00	0	n.a.	n.a.	n.a.	37.80	0	10,048.00	0	-5.93%	44.40	03/24/2016	18:12:55	44.40	0	39,125	03/21/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	47.30	0	10,057.50	0	-6.24%	54.10	03/24/2016	18:12:55	54.10	0	14,011	03/21/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	58.70	0	10,069.00	0	-6.41%	65.70	03/24/2016	18:12:55	65.70	0	25,799	03/23/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	76.40	0	82.50	0	-6.70%	79.40	03/24/2016	18:12:55	79.40	0	29,062	03/04/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	83.70	0	90.30	0	-6.75%	87.00	03/24/2016	18:12:55	87.00	0	0	12/21/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	91.70	0	99.00	0	-6.74%	95.50	03/24/2016	18:12:55	95.50	0	80,440	03/01/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	100.40	0	108.40	0	-7.05%	104.20	03/24/2016	18:12:55	104.20	0	1	01/26/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	110.00	0	118.40	0	-7.01%	114.00	03/24/2016	18:12:55	114.00	0	55,601	03/23/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	120.10	0	129.70	0	-7.17%	124.20	03/24/2016	18:12:55	124.20	0	4	02/08/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	131.00	0	140.10	0	-7.19%	135.50	03/24/2016	18:12:55	135.50	1	41,129	03/07/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	142.70	0	152.20	0	-6.99%	147.70	03/24/2016	18:12:55	147.70	0	0	12/21/2015	n.a.
3,300.00	0	n.a.	n.a.	n.a.	155.20	0	165.10	0	-7.12%	160.50	03/24/2016	18:12:55	160.50	0	53,073	03/24/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	168.10	0	179.00	0	-7.08%	174.50	03/24/2016	18:12:55	174.50	0	2	03/14/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	182.40	0	193.90	0	-6.97%	189.40	03/24/2016	18:12:55	189.40	0	67,552	03/24/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	197.60	0	209.80	0	-6.94%	205.20	03/24/2016	18:12:55	205.20	0	22	03/11/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	214.20	0	226.70	0	-6.79%	222.30	03/24/2016	18:12:55	222.30	0	83,020	03/22/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	231.30	0	249.30	0	-6.68%	240.20	03/24/2016	18:12:55	240.20	0	6,502	03/03/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	251.30	0	263.90	0	-6.70%	259.00	03/24/2016	18:12:55	259.00	0	107,397	03/24/2016	n.a.
2,950.00	0	n.a.	n.a.	n.a.	271.50	0	284.10	0	-6.43%	279.20	03/24/2016	18:12:55	279.20	0	502	02/23/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	291.40	0	309.40	0	-6.42%	300.10	03/24/2016	18:12:55	300.10	0	80,130	03/24/2016	n.a.
2,850.00	0	n.a.	n.a.	n.a.	314.20	0	328.80	0	-6.28%	322.30	03/24/2016	18:12:55	322.30	0	1,041	02/17/2016	n.a.
2,800.00	0	n.a.	n.a.	n.a.	337.60	0	352.30	0	-6.17%	345.30	03/24/2016	18:12:55	345.30	0	44,501	03/23/2016	n.a.
2,750.00	0	n.a.	n.a.	n.a.	362.10	0	376.80	0	-6.08%	369.50	03/24/2016	18:12:55	369.50	0	75	02/15/2016	n.a.
2,700.00	0	n.a.	n.a.	n.a.	387.70	0	402.40	0	-5.91%	394.70	03/24/2016	18:12:55	394.70	1	34,177	03/10/2016	n.a.
2,650.00	0	n.a.	n.a.	n.a.	414.30	0	429.00	0	-5.84%	420.90	03/24/2016	18:12:55	420.90	0	100	03/15/2016	n.a.
2,600.00	0	n.a.	n.a.	n.a.	442.00	0	456.70	0	-5.72%	448.50	03/24/2016	18:12:55	448.50	0	27,958	03/14/2016	n.a.
