Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
4,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.63%	100.50	03/24/2016	18:12:55	100.50	0	1,500	11/12/2015	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.60%	114.70	03/24/2016	18:12:55	114.70	0	0	04/30/2014	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.77%	156.70	03/24/2016	18:12:55	156.70	0	1	05/27/2015	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.79%	187.20	03/24/2016	18:12:55	187.20	0	0	03/14/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.80%	204.50	03/24/2016	18:12:55	204.50	0	4,500	05/26/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.70%	223.50	03/24/2016	18:12:55	223.50	0	21,801	06/17/2015	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.61%	244.00	03/24/2016	18:12:55	244.00	0	2,600	05/28/2015	n.a.
3,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.67%	266.10	03/24/2016	18:12:55	266.10	0	3,600	11/19/2015	n.a.
3,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.56%	290.20	03/24/2016	18:12:55	290.20	0	5,515	12/28/2015	n.a.
3,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.58%	316.30	03/24/2016	18:12:55	316.30	0	7,603	12/15/2015	n.a.
3,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.43%	344.90	03/24/2016	18:12:55	344.90	0	18,808	03/17/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.34%	375.50	03/24/2016	18:12:55	375.50	0	15,150	03/14/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.20%	408.60	03/24/2016	18:12:55	408.60	0	4,800	03/23/2016	n.a.
2,850.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.14%	426.00	03/24/2016	18:12:55	426.00	0	0	10/14/2014	n.a.
2,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.11%	443.70	03/24/2016	18:12:55	443.70	0	7,000	11/21/2014	n.a.
2,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.05%	481.10	03/24/2016	18:12:55	481.10	0	503	11/17/2014	n.a.
2,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.87%	521.70	03/24/2016	18:12:55	521.70	0	2,300	07/05/2013	n.a.
2,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.77%	564.50	03/24/2016	18:12:55	564.50	0	1	11/17/2014	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.69%	610.10	03/24/2016	18:12:55	610.10	0	0	01/21/2013	n.a.
2,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.54%	658.70	03/24/2016	18:12:55	658.70	0	0	01/21/2013	n.a.
2,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.42%	710.00	03/24/2016	18:12:55	710.00	0	0	02/05/2013	n.a.
2,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.26%	764.00	03/24/2016	18:12:55	764.00	0	0	06/24/2013	n.a.
2,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.16%	820.40	03/24/2016	18:12:55	820.40	0	0	10/06/2014	n.a.
1,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.04%	879.60	03/24/2016	18:12:55	879.60	0	0	10/06/2014	n.a.
1,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.90%	941.60	03/24/2016	18:12:55	941.60	0	0	10/06/2014	n.a.
1,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.79%	1,006.30	03/24/2016	18:12:55	1,006.30	0	0	01/23/2013	n.a.
1,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.67%	1,073.40	03/24/2016	18:12:55	1,073.40	0	0	09/11/2014	n.a.
1,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.53%	1,143.30	03/24/2016	18:12:55	1,143.30	0	0	03/22/2013	n.a.
1,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-2.95%	1,525.20	03/24/2016	18:12:55	1,525.20	0	0	02/04/2013	n.a.
