Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	+0.00%	0.10	03/02/2016	19:05:07	0.10	0	1,000	03/21/2016	n.a.
4,950.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,850.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,750.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/22/2016	18:46:45	0.10	0	0	03/22/2016	n.a.
4,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,450.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/22/2016	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,250.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,150.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,050.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
3,950.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	03/18/2016	15:51:51	0.10	186	346	03/21/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	03/18/2016	15:51:51	0.10	186	445	02/02/2016	n.a.
3,850.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	-50.00%	0.10	02/10/2016	18:43:57	0.10	0	539	02/04/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	-50.00%	0.10	02/11/2016	18:07:24	0.10	0	757	02/03/2016	n.a.
3,750.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	-50.00%	0.10	02/18/2016	19:08:16	0.10	0	2,209	02/04/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	-50.00%	0.10	03/24/2016	09:20:46	0.10	248	4,952	03/09/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	03/16/2016	12:24:19	0.10	100	1,329	03/17/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	n.a.	0	0.20	0	+0.00%	0.10	03/23/2016	14:44:46	0.10	632	1,708	03/10/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	03/23/2016	10:14:30	0.10	6	3,065	03/24/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	-50.00%	0.10	03/18/2016	18:26:18	0.10	0	16,812	03/15/2016	n.a.
3,425.00	0	n.a.	n.a.	n.a.	n.a.	0	0.10	0	+0.00%	0.10	03/24/2016	16:30:36	0.10	78	89	03/17/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	0.10	0	0.20	0	+0.00%	0.10	03/24/2016	17:20:32	0.10	156	19,967	03/23/2016	n.a.
