Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.19%	219.70	03/24/2016	18:12:55	219.70	0	8	02/11/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.99%	251.00	03/24/2016	18:12:55	251.00	0	0	01/19/2015	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.89%	268.40	03/24/2016	18:12:55	268.40	0	1,000	09/10/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.91%	286.70	03/24/2016	18:12:55	286.70	0	1,760	05/18/2015	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.75%	306.50	03/24/2016	18:12:55	306.50	0	4,003	03/14/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.70%	327.40	03/24/2016	18:12:55	327.40	0	505	01/11/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	250.00	0	n.a.	0	-5.64%	349.90	03/24/2016	18:12:55	349.90	0	1,508	01/11/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	350.00	0	n.a.	0	-5.51%	373.90	03/24/2016	18:12:55	373.90	1	5,572	02/17/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.42%	399.60	03/24/2016	18:12:55	399.60	0	2,720	01/19/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.32%	426.80	03/24/2016	18:12:55	426.80	0	1,056	03/18/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.20%	455.60	03/24/2016	18:12:55	455.60	0	502	02/22/2016	n.a.
2,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.07%	486.50	03/24/2016	18:12:55	486.50	0	4,083	02/11/2016	n.a.
2,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.03%	518.80	03/24/2016	18:12:55	518.80	0	2	03/08/2016	n.a.
2,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.88%	553.50	03/24/2016	18:12:55	553.50	0	5,000	03/03/2016	n.a.
2,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.76%	590.20	03/24/2016	18:12:55	590.20	0	3	01/21/2016	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.68%	629.00	03/24/2016	18:12:55	629.00	0	0	02/12/2015	n.a.
2,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.25%	806.90	03/24/2016	18:12:55	806.90	0	0	02/12/2015	n.a.
1,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.67%	1,085.40	03/24/2016	18:12:55	1,085.40	0	0	12/14/2015	n.a.
