Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	0.30	0	n.a.	0	-50.00%	0.10	03/22/2016	18:46:45	0.10	0	4,020	11/05/2015	n.a.
5,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-14.29%	0.60	03/24/2016	18:12:55	0.60	0	10	02/22/2016	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	2.40	0	-16.67%	1.00	03/24/2016	18:12:55	1.00	0	17,043	12/18/2015	n.a.
4,800.00	0	n.a.	n.a.	n.a.	0.90	0	3.30	0	-14.29%	1.80	03/24/2016	18:12:55	1.80	0	30,420	02/25/2016	n.a.
4,600.00	0	n.a.	n.a.	n.a.	2.40	0	4.80	0	-15.79%	3.20	03/24/2016	18:12:55	3.20	0	13,526	07/23/2015	n.a.
4,550.00	0	n.a.	n.a.	n.a.	2.90	0	5.30	0	-15.91%	3.70	03/24/2016	18:12:55	3.70	0	30	06/12/2015	n.a.
4,500.00	0	n.a.	n.a.	n.a.	3.50	0	5.90	0	-15.69%	4.30	03/24/2016	18:12:55	4.30	0	14,680	12/14/2015	n.a.
4,450.00	0	n.a.	n.a.	n.a.	4.20	0	6.60	0	-16.67%	5.00	03/24/2016	18:12:55	5.00	0	30	06/16/2015	n.a.
4,400.00	0	n.a.	n.a.	n.a.	5.00	0	7.40	0	-14.49%	5.90	03/24/2016	18:12:55	5.90	0	15,038	02/03/2016	n.a.
4,350.00	0	n.a.	n.a.	n.a.	5.90	0	8.30	0	-15.00%	6.80	03/24/2016	18:12:55	6.80	0	6,015	03/03/2016	n.a.
4,300.00	0	n.a.	n.a.	n.a.	7.00	0	9.40	0	-14.13%	7.90	03/24/2016	18:12:55	7.90	0	1,252	01/14/2016	n.a.
4,250.00	0	n.a.	n.a.	n.a.	8.20	0	10.60	0	-14.15%	9.10	03/24/2016	18:12:55	9.10	0	5	11/17/2015	n.a.
4,200.00	0	n.a.	n.a.	n.a.	9.60	0	12.00	0	-13.82%	10.60	03/24/2016	18:12:55	10.60	0	26,359	01/28/2016	n.a.
4,150.00	0	n.a.	n.a.	n.a.	11.20	0	13.60	0	-13.48%	12.20	03/24/2016	18:12:55	12.20	0	12,460	01/15/2016	n.a.
4,100.00	0	n.a.	n.a.	n.a.	13.10	0	15.50	0	-13.50%	14.10	03/24/2016	18:12:55	14.10	0	14,600	03/21/2016	n.a.
4,050.00	0	n.a.	n.a.	n.a.	15.20	0	17.60	0	-12.77%	16.40	03/24/2016	18:12:55	16.40	0	600	12/17/2015	n.a.
4,000.00	0	n.a.	n.a.	n.a.	17.50	0	20.30	0	-12.50%	18.90	03/24/2016	18:12:55	18.90	0	76,337	03/22/2016	n.a.
3,950.00	0	n.a.	n.a.	n.a.	20.20	0	23.40	0	-12.45%	21.80	03/24/2016	18:12:55	21.80	10	4,010	03/01/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	23.20	0	26.90	0	-11.89%	25.20	03/24/2016	18:12:55	25.20	0	12,900	01/21/2016	n.a.
3,850.00	0	n.a.	n.a.	n.a.	26.70	0	30.90	0	-11.59%	29.00	03/24/2016	18:12:55	29.00	0	501	06/12/2015	n.a.
