Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
3,750.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-12.70%	16.50	03/24/2016	18:12:55	16.50	0	0	03/21/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-12.99%	20.10	03/24/2016	18:12:55	20.10	0	0	03/21/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-13.17%	24.40	03/24/2016	18:12:55	24.40	0	0	03/21/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-13.24%	29.50	03/24/2016	18:12:55	29.50	0	0	03/21/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-12.93%	35.70	03/24/2016	18:12:55	35.70	0	0	03/21/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	39.70	0	45.10	0	-12.98%	42.90	03/24/2016	18:12:55	42.90	1	90	03/24/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	48.20	0	54.00	0	-12.71%	51.50	03/24/2016	18:12:55	51.50	0	0	03/21/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	59.10	0	63.80	0	-12.38%	61.60	03/24/2016	18:12:55	61.60	1	0	03/21/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	70.00	0	75.50	0	-12.03%	73.10	03/24/2016	18:12:55	73.10	0	0	03/21/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	82.30	0	88.80	0	-11.60%	86.10	03/24/2016	18:12:55	86.10	0	0	03/21/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	97.40	0	103.60	0	-11.37%	100.60	03/24/2016	18:12:55	100.60	0	0	03/21/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	112.80	0	119.90	0	-11.05%	116.70	03/24/2016	18:12:55	116.70	0	110	03/24/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	129.80	0	138.80	0	-10.69%	134.50	03/24/2016	18:12:55	134.50	0	0	03/21/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	148.40	0	159.00	0	-10.36%	154.00	03/24/2016	18:12:55	154.00	100	2	03/23/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	168.80	0	181.20	0	-10.01%	175.30	03/24/2016	18:12:55	175.30	0	50	03/24/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	191.00	0	205.00	0	-9.65%	198.40	03/24/2016	18:12:55	198.40	5,000	2,500	03/23/2016	n.a.
2,950.00	0	n.a.	n.a.	n.a.	214.60	0	230.70	0	-9.31%	223.10	03/24/2016	18:12:55	223.10	0	2	03/23/2016	n.a.
