Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
4,600.00	0	n.a.	n.a.	n.a.	0.10	0	0.30	0	+100.00%	0.20	03/21/2016	18:32:36	0.20	0	3,370	03/18/2016	n.a.
4,550.00	0	n.a.	n.a.	n.a.	0.10	0	0.30	0	+0.00%	0.30	03/24/2016	09:21:19	0.20	292	320	03/24/2016	n.a.
4,500.00	0	n.a.	n.a.	n.a.	0.10	0	0.40	0	-33.33%	0.20	03/17/2016	18:56:12	0.20	0	776	02/10/2016	n.a.
4,450.00	0	n.a.	n.a.	n.a.	0.20	0	0.40	0	+50.00%	0.30	03/24/2016	18:12:55	0.30	0	1,926	03/17/2016	n.a.
4,400.00	0	n.a.	n.a.	n.a.	0.20	0	0.50	0	+50.00%	0.30	03/21/2016	18:32:36	0.30	0	486	03/01/2016	n.a.
4,350.00	0	n.a.	n.a.	n.a.	0.20	0	0.50	0	-25.00%	0.30	03/17/2016	18:56:12	0.30	0	761	03/02/2016	n.a.
4,300.00	0	n.a.	n.a.	n.a.	0.30	0	0.60	0	+33.33%	0.40	03/24/2016	18:12:55	0.40	0	485	03/15/2016	n.a.
4,250.00	0	n.a.	n.a.	n.a.	n.a.	0	0.60	0	+33.33%	0.40	03/22/2016	18:46:45	0.40	0	824	03/18/2016	n.a.
4,200.00	0	n.a.	n.a.	n.a.	0.40	0	0.70	0	+0.00%	0.50	03/24/2016	18:12:55	0.50	0	2,491	03/22/2016	n.a.
4,150.00	0	n.a.	n.a.	n.a.	n.a.	0	0.70	0	+20.00%	0.60	03/23/2016	14:33:58	0.50	25	965	03/24/2016	n.a.
4,100.00	0	n.a.	n.a.	n.a.	0.50	0	0.80	0	+16.67%	0.70	03/23/2016	14:08:22	0.60	50	963	03/24/2016	n.a.
4,050.00	0	n.a.	n.a.	n.a.	n.a.	0	1.00	0	-22.22%	0.70	03/23/2016	17:58:20	0.70	64	370	03/24/2016	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	1.10	0	+22.22%	1.10	03/24/2016	12:06:57	0.90	73	11,985	03/23/2016	n.a.
3,950.00	0	n.a.	n.a.	n.a.	0.90	0	1.20	0	+0.00%	1.10	03/24/2016	17:16:21	1.10	751	1,375	03/24/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	1.00	0	1.50	0	-7.14%	1.30	03/24/2016	18:12:55	1.30	0	6,921	03/14/2016	n.a.
3,850.00	0	n.a.	n.a.	n.a.	1.30	0	1.80	0	-5.88%	1.60	03/24/2016	18:12:55	1.60	0	1,983	03/24/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	1.70	0	2.30	0	-9.09%	2.00	03/24/2016	18:12:55	2.00	59	1,962	03/17/2016	n.a.
3,750.00	0	n.a.	n.a.	n.a.	2.30	0	2.90	0	-10.34%	2.60	03/24/2016	18:12:55	2.60	35	1,986	03/24/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	3.20	0	3.80	0	-12.82%	3.40	03/24/2016	18:12:55	3.40	58	6,516	03/23/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	4.40	0	5.10	0	-16.36%	4.60	03/24/2016	18:12:55	4.60	31	8,206	03/24/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	5.30	0	7.40	0	-15.79%	6.40	03/24/2016	18:12:55	6.40	50	11,342	03/24/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	8.40	0	9.10	0	-16.98%	8.80	03/24/2016	18:12:55	8.80	767	3,095	03/23/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	10.80	0	12.80	0	-17.12%	12.10	03/24/2016	18:12:55	12.10	605	54,155	03/23/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	15.10	0	17.30	0	-17.68%	16.30	03/24/2016	18:12:55	16.30	25	9,802	03/24/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	20.70	0	22.80	0	-17.80%	21.70	03/24/2016	18:12:55	21.70	271	59,619	03/24/2016	n.a.
3,375.00	0	n.a.	n.a.	n.a.	24.00	0	26.20	0	-17.76%	25.00	03/24/2016	18:12:55	25.00	100	200	03/24/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	28.00	0	29.80	0	-17.53%	28.70	03/24/2016	18:12:55	28.70	1	5,446	03/22/2016	n.a.
3,325.00	0	n.a.	n.a.	n.a.	32.10	0	34.10	0	-17.34%	32.90	03/24/2016	18:12:55	32.90	0	0	03/21/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	36.50	0	38.70	0	-17.18%	37.60	03/24/2016	18:12:55	37.60	349	129,535	03/24/2016	n.a.
3,275.00	0	n.a.	n.a.	n.a.	41.80	0	43.90	0	-16.89%	42.80	03/24/2016	18:12:55	42.80	151	0	03/21/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	47.70	0	49.60	0	-16.49%	48.60	03/24/2016	18:12:55	48.60	174	21,034	03/24/2016	n.a.
3,225.00	0	n.a.	n.a.	n.a.	54.00	0	56.00	0	-16.18%	54.90	03/24/2016	18:12:55	54.90	0	16,401	03/24/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	60.60	0	62.90	0	-15.92%	61.80	03/24/2016	18:12:55	61.80	83	27,820	03/23/2016	n.a.
3,175.00	0	n.a.	n.a.	n.a.	67.90	0	70.60	0	-15.59%	69.30	03/24/2016	18:12:55	69.30	0	0	03/21/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	74.80	0	79.70	0	-15.22%	77.40	03/24/2016	18:12:55	77.40	328	38,205	03/23/2016	n.a.
3,125.00	0	n.a.	n.a.	n.a.	83.50	0	88.60	0	-14.82%	86.20	03/24/2016	18:12:55	86.20	0	99	03/23/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	91.80	0	96.40	0	-14.43%	95.50	03/24/2016	18:12:55	95.50	11,002	60,082	03/24/2016	n.a.
3,075.00	0	n.a.	n.a.	n.a.	101.80	0	106.10	0	-14.10%	105.40	03/24/2016	18:12:55	105.40	0	0	03/21/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	111.40	0	116.90	0	-13.76%	115.90	03/24/2016	18:12:55	115.90	2,000	14,784	03/23/2016	n.a.
3,025.00	0	n.a.	n.a.	n.a.	122.30	0	128.40	0	-13.37%	127.00	03/24/2016	18:12:55	127.00	0	191	03/24/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	133.40	0	140.20	0	-13.10%	138.60	03/24/2016	18:12:55	138.60	289	70,970	03/24/2016	n.a.
2,975.00	0	n.a.	n.a.	n.a.	145.30	0	152.60	0	-12.72%	150.90	03/24/2016	18:12:55	150.90	0	26	03/23/2016	n.a.
2,950.00	0	n.a.	n.a.	n.a.	157.80	0	165.40	0	-12.41%	163.70	03/24/2016	18:12:55	163.70	638	9,647	03/23/2016	n.a.
2,925.00	0	n.a.	n.a.	n.a.	170.90	0	179.00	0	-12.11%	177.10	03/24/2016	18:12:55	177.10	0	391	03/23/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	184.50	0	193.40	0	-11.77%	191.10	03/24/2016	18:12:55	191.10	5	20,382	03/24/2016	n.a.
2,875.00	0	n.a.	n.a.	n.a.	198.50	0	212.30	0	-11.49%	205.60	03/24/2016	18:12:55	205.60	0	0	03/21/2016	n.a.
2,850.00	0	n.a.	n.a.	n.a.	213.10	0	228.00	0	-11.19%	220.60	03/24/2016	18:12:55	220.60	0	10,218	03/08/2016	n.a.
2,825.00	0	n.a.	n.a.	n.a.	228.50	0	244.20	0	-10.90%	236.20	03/24/2016	18:12:55	236.20	0	0	03/21/2016	n.a.
2,800.00	0	n.a.	n.a.	n.a.	244.60	0	260.30	0	-10.63%	252.20	03/24/2016	18:12:55	252.20	0	19,027	03/24/2016	n.a.
2,775.00	0	n.a.	n.a.	n.a.	260.60	0	276.80	0	-10.34%	268.70	03/24/2016	18:12:55	268.70	0	0	03/22/2016	n.a.
2,750.00	0	n.a.	n.a.	n.a.	276.60	0	293.80	0	-10.04%	285.70	03/24/2016	18:12:55	285.70	0	521	03/03/2016	n.a.
2,725.00	0	n.a.	n.a.	n.a.	295.00	0	313.00	0	-9.76%	303.10	03/24/2016	18:12:55	303.10	0	0	03/22/2016	n.a.
2,700.00	0	n.a.	n.a.	n.a.	311.80	0	329.80	0	-9.50%	320.90	03/24/2016	18:12:55	320.90	0	1,885	03/10/2016	n.a.
2,650.00	0	n.a.	n.a.	n.a.	348.60	0	366.60	0	-9.01%	357.70	03/24/2016	18:12:55	357.70	0	432	02/17/2016	n.a.
2,600.00	0	n.a.	n.a.	n.a.	386.80	0	404.80	0	-8.50%	396.00	03/24/2016	18:12:55	396.00	0	728	03/18/2016	n.a.
2,550.00	0	n.a.	n.a.	n.a.	426.30	0	444.30	0	-8.06%	435.60	03/24/2016	18:12:55	435.60	0	1,358	03/14/2016	n.a.
2,500.00	0	n.a.	n.a.	n.a.	467.00	0	485.00	0	-7.64%	476.40	03/24/2016	18:12:55	476.40	304	793	03/23/2016	n.a.
2,450.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-7.27%	518.20	03/24/2016	18:12:55	518.20	0	810	01/21/2016	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.94%	560.90	03/24/2016	18:12:55	560.90	0	445	01/08/2016	n.a.
2,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.63%	604.50	03/24/2016	18:12:55	604.50	0	0	09/22/2015	n.a.
2,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.34%	648.80	03/24/2016	18:12:55	648.80	0	48	02/19/2016	n.a.
2,250.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.07%	693.80	03/24/2016	18:12:55	693.80	0	710	01/29/2016	n.a.
2,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.81%	739.40	03/24/2016	18:12:55	739.40	0	370	02/02/2016	n.a.
2,150.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.58%	785.50	03/24/2016	18:12:55	785.50	0	0	09/22/2015	n.a.
2,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.35%	832.10	03/24/2016	18:12:55	832.10	0	0	09/22/2015	n.a.
