Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-33.33%	0.20	03/24/2016	18:12:55	0.20	0	200	10/09/2015	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	1.20	0	-20.00%	0.40	03/24/2016	18:12:55	0.40	0	100	01/28/2016	n.a.
4,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-20.00%	0.80	03/24/2016	18:12:55	0.80	0	29	09/15/2015	n.a.
4,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-13.33%	1.30	03/24/2016	18:12:55	1.30	0	100	07/21/2015	n.a.
4,500.00	0	n.a.	n.a.	n.a.	0.20	0	2.60	0	-11.76%	1.50	03/24/2016	18:12:55	1.50	0	3,100	07/13/2015	n.a.
4,450.00	0	n.a.	n.a.	n.a.	0.50	0	2.90	0	-15.00%	1.70	03/24/2016	18:12:55	1.70	0	100	06/17/2015	n.a.
4,400.00	0	n.a.	n.a.	n.a.	0.80	0	3.20	0	-13.04%	2.00	03/24/2016	18:12:55	2.00	0	98	03/14/2016	n.a.
4,300.00	0	n.a.	n.a.	n.a.	1.60	0	4.00	0	-12.50%	2.80	03/24/2016	18:12:55	2.80	0	1,600	10/15/2015	n.a.
4,250.00	0	n.a.	n.a.	n.a.	2.20	0	4.60	0	-13.16%	3.30	03/24/2016	18:12:55	3.30	0	2	12/14/2015	n.a.
4,200.00	0	n.a.	n.a.	n.a.	2.80	0	5.20	0	-11.36%	3.90	03/24/2016	18:12:55	3.90	0	100	01/28/2016	n.a.
4,150.00	0	n.a.	n.a.	n.a.	3.60	0	6.00	0	-11.32%	4.70	03/24/2016	18:12:55	4.70	0	100	09/21/2015	n.a.
4,050.00	0	n.a.	n.a.	n.a.	5.60	0	8.00	0	-10.67%	6.70	03/24/2016	18:12:55	6.70	0	30	12/23/2015	n.a.
4,000.00	0	n.a.	n.a.	n.a.	7.00	0	9.40	0	-10.00%	8.10	03/24/2016	18:12:55	8.10	0	7,126	03/08/2016	n.a.
3,950.00	0	n.a.	n.a.	n.a.	8.60	0	11.00	0	-10.09%	9.80	03/24/2016	18:12:55	9.80	0	200	09/02/2015	n.a.
3,900.00	0	n.a.	n.a.	n.a.	10.50	0	12.90	0	-9.92%	11.80	03/24/2016	18:12:55	11.80	0	2,410	02/04/2016	n.a.
3,850.00	0	n.a.	n.a.	n.a.	12.80	0	15.20	0	-10.69%	14.20	03/24/2016	18:12:55	14.20	0	14	02/24/2016	n.a.
3,800.00	0	n.a.	n.a.	n.a.	15.50	0	17.90	0	-10.47%	17.10	03/24/2016	18:12:55	17.10	0	4,004	03/17/2016	n.a.
3,750.00	0	n.a.	n.a.	n.a.	15.90	0	25.10	0	-10.82%	20.60	03/24/2016	18:12:55	20.60	0	106	03/11/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	19.80	0	29.00	0	-11.19%	24.60	03/24/2016	18:12:55	24.60	0	1,600	03/17/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-11.18%	29.40	03/24/2016	18:12:55	29.40	0	730	11/18/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	28.90	0	n.a.	0	-11.45%	34.80	03/24/2016	18:12:55	34.80	0	21,247	03/22/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-11.42%	41.10	03/24/2016	18:12:55	41.10	0	25,532	03/17/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	43.30	0	50.20	0	-11.54%	48.30	03/24/2016	18:12:55	48.30	0	20,907	02/19/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	50.90	0	59.00	0	-11.60%	56.40	03/24/2016	18:12:55	56.40	0	954	02/10/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	60.20	0	69.00	0	-11.69%	65.70	03/24/2016	18:12:55	65.70	0	41,326	03/21/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	73.80	0	78.70	0	-11.61%	76.10	03/24/2016	18:12:55	76.10	0	37,279	02/25/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	85.10	0	91.00	0	-11.30%	87.90	03/24/2016	18:12:55	87.90	0	16,575	03/18/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	98.00	0	104.60	0	-11.09%	101.00	03/24/2016	18:12:55	101.00	0	188	02/15/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	112.10	0	120.00	0	-10.80%	115.60	03/24/2016	18:12:55	115.60	2,000	68,835	03/22/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	127.70	0	136.70	0	-10.53%	131.70	03/24/2016	18:12:55	131.70	0	8,518	03/17/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	144.90	0	155.00	0	-10.22%	149.40	03/24/2016	18:12:55	149.40	0	16,483	03/23/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	163.60	0	175.10	0	-9.89%	168.50	03/24/2016	18:12:55	168.50	0	4,731	03/18/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	183.80	0	196.30	0	-9.51%	189.30	03/24/2016	18:12:55	189.30	6,200	55,071	03/23/2016	n.a.
