Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-2.00%	9.80	03/24/2016	18:12:55	9.80	0	2,017	02/01/2016	n.a.
5,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-2.16%	18.10	03/24/2016	18:12:55	18.10	0	2	08/10/2015	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.38%	28.60	03/24/2016	18:12:55	28.60	0	7,920	01/22/2016	n.a.
4,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.97%	36.30	03/24/2016	18:12:55	36.30	0	1,500	03/27/2015	n.a.
4,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.53%	46.40	03/24/2016	18:12:55	46.40	0	4,047	11/19/2014	n.a.
4,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.72%	52.50	03/24/2016	18:12:55	52.50	0	1,000	12/08/2015	n.a.
4,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.95%	59.50	03/24/2016	18:12:55	59.50	0	3,553	11/25/2015	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.80%	63.40	03/24/2016	18:12:55	63.40	0	0	04/30/2014	n.a.
4,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.93%	67.50	03/24/2016	18:12:55	67.50	0	1,000	06/24/2015	n.a.
4,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.20%	76.60	03/24/2016	18:12:55	76.60	0	6,000	03/04/2016	n.a.
4,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.23%	86.90	03/24/2016	18:12:55	86.90	0	1,500	05/06/2015	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.56%	98.50	03/24/2016	18:12:55	98.50	0	15,777	03/07/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.66%	111.70	03/24/2016	18:12:55	111.70	0	12,000	11/11/2015	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.59%	126.60	03/24/2016	18:12:55	126.60	0	2,754	12/15/2015	n.a.
3,750.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.68%	134.60	03/24/2016	18:12:55	134.60	0	186	04/13/2015	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.73%	143.10	03/24/2016	18:12:55	143.10	0	7,502	10/06/2015	n.a.
3,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.77%	151.90	03/24/2016	18:12:55	151.90	0	1,012	06/16/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.83%	161.50	03/24/2016	18:12:55	161.50	11,000	29,152	03/04/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.72%	171.50	03/24/2016	18:12:55	171.50	0	15	03/03/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.80%	181.90	03/24/2016	18:12:55	181.90	0	11,676	02/16/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.89%	204.50	03/24/2016	18:12:55	204.50	0	20,900	03/24/2016	n.a.
3,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.91%	216.70	03/24/2016	18:12:55	216.70	0	1,060	01/21/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.86%	229.80	03/24/2016	18:12:55	229.80	0	34,377	03/07/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.88%	243.30	03/24/2016	18:12:55	243.30	0	504	12/28/2015	n.a.
3,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.81%	257.70	03/24/2016	18:12:55	257.70	0	42,073	02/05/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.73%	272.90	03/24/2016	18:12:55	272.90	0	795	07/11/2014	n.a.
3,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.75%	288.70	03/24/2016	18:12:55	288.70	0	35,385	03/18/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.65%	305.40	03/24/2016	18:12:55	305.40	0	491	09/29/2015	n.a.
3,000.00	0	n.a.	n.a.	n.a.	270.00	0	n.a.	0	-5.64%	322.60	03/24/2016	18:12:55	322.60	1,300	39,269	03/23/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.47%	359.60	03/24/2016	18:12:55	359.60	0	20,659	03/16/2016	n.a.
2,850.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.44%	379.20	03/24/2016	18:12:55	379.20	0	0	n.a.	n.a.
2,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.35%	399.60	03/24/2016	18:12:55	399.60	16,500	16,450	02/26/2016	n.a.
2,750.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.27%	420.60	03/24/2016	18:12:55	420.60	0	0	07/05/2012	n.a.
2,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.21%	442.50	03/24/2016	18:12:55	442.50	0	13,901	03/18/2016	n.a.
2,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.14%	465.20	03/24/2016	18:12:55	465.20	0	15	03/02/2016	n.a.
