Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.20%	283.00	03/24/2016	18:12:55	283.00	0	0	03/14/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.92%	318.10	03/24/2016	18:12:55	318.10	0	0	01/20/2016	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.81%	337.10	03/24/2016	18:12:55	337.10	0	0	01/20/2016	n.a.
3,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.75%	357.20	03/24/2016	18:12:55	357.20	0	0	01/20/2016	n.a.
3,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.68%	378.60	03/24/2016	18:12:55	378.60	0	0	01/20/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.58%	401.20	03/24/2016	18:12:55	401.20	0	1	02/05/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.47%	425.30	03/24/2016	18:12:55	425.30	0	0	01/20/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.34%	450.70	03/24/2016	18:12:55	450.70	0	0	01/20/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.28%	477.60	03/24/2016	18:12:55	477.60	1	400	01/27/2016	n.a.
2,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.14%	506.00	03/24/2016	18:12:55	506.00	0	0	01/20/2016	n.a.
2,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.05%	536.00	03/24/2016	18:12:55	536.00	0	0	01/20/2016	n.a.
2,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.91%	568.00	03/24/2016	18:12:55	568.00	0	0	01/20/2016	n.a.
2,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.83%	601.50	03/24/2016	18:12:55	601.50	0	200	02/10/2016	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.76%	636.80	03/24/2016	18:12:55	636.80	0	0	01/20/2016	n.a.
