Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.27%	31.40	03/24/2016	18:12:55	31.40	0	7,537	11/10/2014	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.97%	143.40	03/24/2016	18:12:55	143.40	0	0	04/30/2014	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	500.00	0	-5.92%	187.40	03/24/2016	18:12:55	187.40	0	48	02/16/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.99%	202.30	03/24/2016	18:12:55	202.30	0	2	09/22/2015	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.82%	218.50	03/24/2016	18:12:55	218.50	0	3	09/22/2015	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.83%	236.00	03/24/2016	18:12:55	236.00	0	2	09/07/2015	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.77%	254.70	03/24/2016	18:12:55	254.70	0	3,000	03/23/2015	n.a.
3,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.80%	274.70	03/24/2016	18:12:55	274.70	0	2,005	11/09/2015	n.a.
3,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.69%	296.50	03/24/2016	18:12:55	296.50	0	2,500	11/12/2015	n.a.
3,300.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.61%	319.70	03/24/2016	18:12:55	319.70	0	10,580	02/23/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.45%	345.10	03/24/2016	18:12:55	345.10	0	4,643	01/11/2016	n.a.
3,100.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.42%	372.00	03/24/2016	18:12:55	372.00	0	5,501	01/13/2016	n.a.
3,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.29%	401.10	03/24/2016	18:12:55	401.10	0	2,201	02/11/2016	n.a.
2,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.20%	432.00	03/24/2016	18:12:55	432.00	0	500	10/20/2014	n.a.
2,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.12%	464.80	03/24/2016	18:12:55	464.80	0	502	02/16/2016	n.a.
2,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.98%	499.90	03/24/2016	18:12:55	499.90	0	0	01/22/2014	n.a.
2,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.92%	518.30	03/24/2016	18:12:55	518.30	0	0	04/30/2014	n.a.
2,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.83%	537.50	03/24/2016	18:12:55	537.50	0	0	01/22/2014	n.a.
2,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.78%	577.10	03/24/2016	18:12:55	577.10	0	0	01/22/2014	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.65%	619.50	03/24/2016	18:12:55	619.50	0	0	01/22/2014	n.a.
2,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.42%	711.40	03/24/2016	18:12:55	711.40	0	700	03/11/2015	n.a.
1,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.09%	868.00	03/24/2016	18:12:55	868.00	0	0	03/21/2016	n.a.
1,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.95%	925.60	03/24/2016	18:12:55	925.60	0	0	02/22/2016	n.a.
