Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.80%	13.70	03/24/2016	18:12:55	13.70	0	5	11/17/2015	n.a.
4,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-7.73%	19.10	03/24/2016	18:12:55	19.10	0	1,010	12/29/2015	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-7.98%	30.00	03/24/2016	18:12:55	30.00	0	401	10/21/2015	n.a.
3,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-7.86%	37.50	03/24/2016	18:12:55	37.50	0	200	11/25/2015	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-8.10%	46.50	03/24/2016	18:12:55	46.50	0	3,000	09/22/2015	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-7.96%	57.80	03/24/2016	18:12:55	57.80	0	1,502	03/04/2016	n.a.
3,650.00	0	n.a.	n.a.	n.a.	62.50	0	67.50	0	-8.14%	64.30	03/24/2016	18:12:55	64.30	0	4,808	01/22/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	69.60	0	75.10	0	-8.21%	71.60	03/24/2016	18:12:55	71.60	0	103	02/19/2016	n.a.
3,550.00	0	n.a.	n.a.	n.a.	77.50	0	83.70	0	-8.06%	79.80	03/24/2016	18:12:55	79.80	0	0	06/22/2015	n.a.
3,500.00	0	n.a.	n.a.	n.a.	86.00	0	92.80	0	-8.08%	88.70	03/24/2016	18:12:55	88.70	0	2,200	01/25/2016	n.a.
3,450.00	0	n.a.	n.a.	n.a.	95.40	0	103.00	0	-8.12%	98.50	03/24/2016	18:12:55	98.50	0	0	06/22/2015	n.a.
3,400.00	0	n.a.	n.a.	n.a.	105.60	0	114.00	0	-7.76%	109.30	03/24/2016	18:12:55	109.30	0	7,800	10/21/2015	n.a.
3,350.00	0	n.a.	n.a.	n.a.	116.70	0	126.00	0	-7.77%	121.00	03/24/2016	18:12:55	121.00	0	0	06/22/2015	n.a.
3,300.00	0	n.a.	n.a.	n.a.	128.70	0	138.90	0	-7.67%	133.70	03/24/2016	18:12:55	133.70	0	150	02/16/2016	n.a.
3,250.00	0	n.a.	n.a.	n.a.	141.70	0	153.00	0	-7.65%	147.30	03/24/2016	18:12:55	147.30	0	40	02/15/2016	n.a.
3,200.00	0	n.a.	n.a.	n.a.	155.70	0	168.10	0	-7.43%	162.00	03/24/2016	18:12:55	162.00	0	616	03/10/2016	n.a.
3,150.00	0	n.a.	n.a.	n.a.	170.70	0	184.30	0	-7.35%	177.80	03/24/2016	18:12:55	177.80	0	0	06/22/2015	n.a.
3,100.00	0	n.a.	n.a.	n.a.	186.90	0	201.80	0	-7.20%	194.70	03/24/2016	18:12:55	194.70	0	1,015	01/08/2016	n.a.
3,050.00	0	n.a.	n.a.	n.a.	204.10	0	220.40	0	-7.12%	212.60	03/24/2016	18:12:55	212.60	0	0	06/22/2015	n.a.
3,000.00	0	n.a.	n.a.	n.a.	222.50	0	240.30	0	-7.03%	231.50	03/24/2016	18:12:55	231.50	0	9,320	03/24/2016	n.a.
2,950.00	0	n.a.	n.a.	n.a.	242.70	0	260.70	0	-6.88%	251.90	03/24/2016	18:12:55	251.90	0	0	06/22/2015	n.a.
2,900.00	0	n.a.	n.a.	n.a.	264.20	0	282.20	0	-6.72%	273.40	03/24/2016	18:12:55	273.40	0	4,000	02/24/2016	n.a.
2,850.00	0	n.a.	n.a.	n.a.	287.00	0	305.00	0	-6.60%	296.00	03/24/2016	18:12:55	296.00	0	0	06/22/2015	n.a.
2,800.00	0	n.a.	n.a.	n.a.	311.00	0	329.00	0	-6.43%	320.00	03/24/2016	18:12:55	320.00	0	1,800	03/17/2016	n.a.
2,750.00	0	n.a.	n.a.	n.a.	336.30	0	354.30	0	-6.35%	344.90	03/24/2016	18:12:55	344.90	0	0	06/22/2015	n.a.
2,700.00	0	n.a.	n.a.	n.a.	362.80	0	380.80	0	-6.14%	371.40	03/24/2016	18:12:55	371.40	0	301	02/18/2016	n.a.
2,650.00	0	n.a.	n.a.	n.a.	390.40	0	408.40	0	-6.03%	398.60	03/24/2016	18:12:55	398.60	0	0	06/24/2015	n.a.
2,600.00	0	n.a.	n.a.	n.a.	419.00	0	437.00	0	-5.88%	427.10	03/24/2016	18:12:55	427.10	0	900	03/14/2016	n.a.
2,550.00	0	n.a.	n.a.	n.a.	448.80	0	466.80	0	-5.76%	456.60	03/24/2016	18:12:55	456.60	0	0	06/24/2015	n.a.
2,500.00	0	n.a.	n.a.	n.a.	479.60	0	497.60	0	-5.62%	487.00	03/24/2016	18:12:55	487.00	0	354	03/18/2016	n.a.
2,450.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.48%	518.70	03/24/2016	18:12:55	518.70	0	0	06/24/2015	n.a.
2,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.37%	551.60	03/24/2016	18:12:55	551.60	0	300	02/17/2016	n.a.
