Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
6,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+17.65%	4.00	03/23/2016	17:58:20	4.00	0	1,017	12/03/2014	n.a.
5,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+2.00%	5.10	03/24/2016	18:12:55	5.10	0	14	11/10/2014	n.a.
5,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+14.04%	6.50	03/23/2016	17:58:20	6.50	0	12	11/17/2014	n.a.
5,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+13.33%	8.50	03/23/2016	17:58:20	8.50	0	7	10/16/2014	n.a.
5,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-0.88%	11.30	03/24/2016	18:12:55	11.30	0	2	05/19/2014	n.a.
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-1.95%	15.10	03/24/2016	18:12:55	15.10	0	12,500	02/19/2016	n.a.
4,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-2.86%	20.40	03/24/2016	18:12:55	20.40	0	4,118	01/26/2016	n.a.
4,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-2.86%	23.80	03/24/2016	18:12:55	23.80	0	1,383	01/26/2016	n.a.
4,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.82%	27.70	03/24/2016	18:12:55	27.70	0	5,800	08/29/2014	n.a.
4,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-3.86%	32.40	03/24/2016	18:12:55	32.40	0	6,000	06/25/2015	n.a.
4,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.30%	37.80	03/24/2016	18:12:55	37.80	0	43,407	03/03/2016	n.a.
4,200.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-4.95%	51.80	03/24/2016	18:12:55	51.80	0	7,060	05/05/2015	n.a.
4,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.35%	70.70	03/24/2016	18:12:55	70.70	0	32,944	03/14/2016	n.a.
3,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.61%	82.50	03/24/2016	18:12:55	82.50	0	7,532	11/05/2015	n.a.
3,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.79%	96.00	03/24/2016	18:12:55	96.00	0	52,315	03/04/2016	n.a.
3,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-5.91%	111.50	03/24/2016	18:12:55	111.50	0	17,387	03/08/2016	n.a.
3,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	-6.12%	128.90	03/24/2016	18:12:55	128.90	0	30,475	03/10/2016	n.a.
